INDEX,STREET NAME,STREET TYPE,STREET SUFFIX,SUBURB,SUBURB LIST
1,AARON,Avenue,,HAWTHORNE,"H, HAWTHORNE"
2,AARON,Place,,INDOOROOPILLY,"I, INDOOROOPILLY"
3,ABARTH,Street,,CHERMSIDE,"C, CHERMSIDE"
4,ABBEVILLE,Street,,UPPER MOUNT GRAVATT,"U, UPPER MOUNT GRAVATT"
5,ABBEY,Place,,WYNNUM WEST,"W, WYNNUM WEST"
6,ABBEY,Street,,WAVELL HEIGHTS,"W, WAVELL HEIGHTS"
7,ABBEYFEALE,Street,,TINGALPA,"T, TINGALPA"
8,ABBEYWOOD,Street,,TAIGUM,"T, TAIGUM"
9,ABBOTSFORD,Place,,FOREST LAKE,"F, FOREST LAKE"
10,ABBOTSFORD,Road,,ALBION,"A, ALBION"
11,ABBOTSFORD,Road,,BOWEN HILLS,"B, BOWEN HILLS"
12,ABBOTSLEIGH,Street,,HOLLAND PARK,"H, HOLLAND PARK"
13,ABBOTT,Street,,ASCOT,"A, ASCOT"
14,ABBOTT,Street,,CAMP HILL,"C, CAMP HILL"
15,ABBOTT,Street,,HAMILTON,"H, HAMILTON"
16,ABBOTT,Street,,NEW FARM,"N, NEW FARM"
17,ABDALE,Street,,WAVELL HEIGHTS,"W, WAVELL HEIGHTS"
18,ABEL SMITH,Crescent,,MOUNT OMMANEY,"M, MOUNT OMMANEY"
19,ABEL,Street,,MOOROOKA,"M, MOOROOKA"
20,ABELIA,Close,,CALAMVALE,"C, CALAMVALE"
21,ABELIA,Street,,INALA,"I, INALA"
22,ABERCORN,Street,,RUNCORN,"R, RUNCORN"
23,ABERCROMBIE,Street,,ROCKLEA,"R, ROCKLEA"
24,ABERCROMBIE,Street,,TENERIFFE,"T, TENERIFFE"
25,ABERDARE,Street,,DARRA,"D, DARRA"
26,ABERDEEN,Court,,THE GAP,"T, THE GAP"
27,ABERDEEN,Crescent,,KURABY,"K, KURABY"
28,ABERDEEN,Parade,,BOONDALL,"B, BOONDALL"
29,ABERDEEN,Place,,MANLY WEST,"M, MANLY WEST"
30,ABERDEEN,Place,,UPPER KEDRON,"U, UPPER KEDRON"
31,ABERDEEN,Terrace,,GORDON PARK,"G, GORDON PARK"
32,ABERFELDY,Street,,KENMORE,"K, KENMORE"
33,ABERFOYLE,Street,,KENMORE,"K, KENMORE"
34,ABERLEIGH,Road,,HERSTON,"H, HERSTON"
35,ABERY,Lane,,GEEBUNG,"G, GEEBUNG"
36,ABILL,Court,,ALGESTER,"A, ALGESTER"
37,ABINGDON,Street,,WOOLLOONGABBA,"W, WOOLLOONGABBA"
38,ABINGER,Street,,MORNINGSIDE,"M, MORNINGSIDE"
39,ABLINGTON,Way,,CARINDALE,"C, CARINDALE"
40,ABLOOM,Street,,ROCHEDALE,"R, ROCHEDALE"
41,ABNEY,Street,,MOOROOKA,"M, MOOROOKA"
42,ABRAHAM,Street,,RED HILL,"R, RED HILL"
43,ABRAHAM,Street,,WILLAWONG,"W, WILLAWONG"
44,ABUKLEA,Street,,NEWMARKET,"N, NEWMARKET"
45,ABUKLEA,Street,,WILSTON,"W, WILSTON"
46,ABUKLEA,Street,West,NEWMARKET,"N, NEWMARKET"
47,ACACIA,Avenue,,CHELMER,"C, CHELMER"
48,ACACIA,Avenue,,GRACEVILLE,"G, GRACEVILLE"
49,ACACIA,Avenue,,NORTHGATE,"N, NORTHGATE"
50,ACACIA,Close,,FITZGIBBON,"F, FITZGIBBON"
